cpf)cnpj_prod;negocio_origem;nome_segurado;matricula;cpf;inscricao;plano;plano_id;valor_base_R$;parcela;comissao_r$;porcentagem;data_verba;nome_verba
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;7,14E+12;CAPITAL SEGURADO POR IFPD/IPA;1538;8,071249098;10;1,008906137;12,5;12/06/2001;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;7,14E+12;CAPTAL SEGURADO POR IPA;1537;210,5158908;23;26,31448635;12,5;01/07/2010;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;7,14E+12;DIT COM LER E DORT;2232;169,769491;12;3,395389819;2;14/07/1973;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;7,14E+12;CAPTAL SEGURADO POR IPA;1537;22,96745262;9;4,134141471;18;10/05/1994;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;7,14E+12;DIARIA DE INTERNACAO HOSPITALAR - 200 DI;2115;34,89587046;28;6,281256683;18;10/06/1997;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;1,49E+12;SAF SEGURO DE ASSISTENCIA FUNERAL SUPER;2028;30,3234399;24;3,790429988;12,5;02/03/1972;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;1,49E+12;DIT COM LER E DORT E IPA MAJORADA;1784;139,0015101;4;17,37518877;12,5;04/08/1972;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;1,49E+12;DIH ADICIONAL UTI RIDER;2411;35,20016851;29;6,336030332;18;12/06/1973;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;1,49E+12;DIH - 250 DIARIAS - RIDER;2410;130,1233475;2;2,602466951;2;31/08/1978;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;1,49E+12;WHOLE LIFE PLUS AFC;1758;194,9654343;20;24,37067928;12,5;24/03/1993;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;HENRIQUE DA CRUZ;4739559122;509.478.123-50;9,86E+12;DIT MEDICOS  MAC  IPAM 7 DIAS;2400;277,2805415;24;5,545610831;2;30/05/2012;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;HENRIQUE DA CRUZ;4739559122;509.478.123-50;7,31E+12;DIT  MQC 7 DIAS;2397;83,37712311;6;15,00788216;18;08/04/2018;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;HENRIQUE DA CRUZ;4739559122;509.478.123-50;4,19E+12;CAPITAL SEGURADO POR IFPD/IPA;1538;10,69243175;12;0,213848635;2;09/08/1989;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;HENRIQUE DA CRUZ;4739559122;509.478.123-50;4,19E+12;DOENCAS GRAVES PREMIUM;2231;210,498888;20;4,20997776;2;08/08/1974;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;HENRIQUE DA CRUZ;4739559122;509.478.123-50;4,19E+12;CAPTAL SEGURADO POR IPA;1537;131,0856554;15;16,38570693;12,5;25/09/2006;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;HENRIQUE DA CRUZ;4739559122;509.478.123-50;2,71E+12;DIT  MAC  IPAM - 7 DIAS - RIDER;2421;265,380219;16;5,30760438;2;31/07/1995;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;HENRIQUE DA CRUZ;4739559122;509.478.123-50;1,88E+12;SAF FAMILIAR SUPERLUXO - R7.000 - RIDER;2418;181,4649302;6;22,68311627;12,5;02/07/1995;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;HENRIQUE DA CRUZ;4739559122;509.478.123-50;7,67E+12;SAF SEGURO DE ASSISTENCIA FUNERAL SUPER;2028;20,74579886;13;2,593224858;12,5;23/04/1998;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;HENRIQUE DA CRUZ;4739559122;509.478.123-50;9,64E+11;ADICIONAL - UTI;2117;162,3613269;29;20,29516586;12,5;22/08/2004;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;HENRIQUE DA CRUZ;4739559122;509.478.123-50;7,07E+12;WHOLE LIFE PLUS AFC;1758;80,50606012;11;14,49109082;18;25/12/1980;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BÁRBARA LIMA;9858623472;307.194.685-66;5,48E+12;DIARIA DE INTERNACAO HOSPITALAR - 200 DI;2115;296,1002373;11;53,29804271;18;10/09/1996;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BÁRBARA LIMA;9858623472;307.194.685-66;8,27E+12;SAF INDIVIDUAL SUPERLUXO - R7.000 - RIDE;2417;157,0147513;26;3,140295025;2;05/09/2015;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;EDUARDO TEIXEIRA;1665991792;976.581.043-10;6,05E+12;DIT COM LER E DORT E IPA MAJORADA;1784;274,9757618;16;5,499515236;2;24/04/1999;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;EDUARDO TEIXEIRA;1665991792;976.581.043-10;2,35E+12;DIT COM LER E DORT;2232;264,3758277;2;5,287516553;2;24/10/1973;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;EDUARDO TEIXEIRA;1665991792;976.581.043-10;2,51E+11;SAF INDIVIDUAL SUPERLUXO - R7.000 - RIDE;2417;273,6925911;17;5,473851823;2;22/01/2011;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;EDUARDO TEIXEIRA;1665991792;976.581.043-10;4,58E+12;SAF INDIVIDUAL SUPERLUXO - R7.000 - RIDE;2417;105,0042092;18;18,90075765;18;07/11/2013;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;EDUARDO TEIXEIRA;1665991792;976.581.043-10;2,44E+12;DOENCAS GRAVES;1780;166,8530011;4;3,337060023;2;08/06/2008;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;EDUARDO TEIXEIRA;1665991792;976.581.043-10;2,44E+12;SAF SEGURO DE ASSISTENCIA FUNERAL SUPER;2028;203,8154385;11;4,07630877;2;17/11/2002;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;EDUARDO TEIXEIRA;1665991792;976.581.043-10;2,44E+12;DIT  MAC  IPAM - 7 DIAS - RIDER;2421;175,2425006;24;31,5436501;18;10/02/2003;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LUIZ HENRIQUE PINTO;8886159623;948.251.036-42;7,14E+12;DIT  MQC 7 DIAS;2397;0,662952216;3;0,082869027;12,5;13/07/2011;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LUIZ HENRIQUE PINTO;8886159623;948.251.036-42;9,26E+12;SAF INDIVIDUAL SUPERLUXO - R7.000 - RIDE;2417;190,0632422;2;23,75790527;12,5;01/07/1975;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;PEDRO MIGUEL DA ROCHA;8710566962;634.721.058-44;9,43E+12;DOENCAS GRAVES;1780;250,2623;26;45,04721399;18;09/08/1982;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;PEDRO MIGUEL DA ROCHA;8710566962;634.721.058-44;5,82E+12;DOENCAS GRAVES;1780;115,4042644;8;14,42553305;12,5;26/01/2012;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LUIZ GUSTAVO LIMA;7788650614;910.238.546-51;6,14E+12;SAF FAMILIAR SUPERLUXO - R7.000 - RIDER;2418;245,4088372;11;4,908176744;2;23/07/1986;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LUIZ GUSTAVO LIMA;7788650614;910.238.546-51;7,95E+12;SAF INDIVIDUAL SUPERLUXO - R7.000 - RIDE;2417;100,9182637;22;18,16528747;18;11/06/1982;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;ISADORA COSTELA;6342016546;398.650.427-38;4,54E+12;SAF FAMILIAR SUPERLUXO - R7.000 - RIDER;2418;184,3375815;26;3,68675163;2;09/09/1987;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;ISADORA COSTELA;6342016546;398.650.427-38;9,55E+12;WHOLE LIFE PLUS AFC;1758;134,931478;30;2,69862956;2;06/08/1987;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;EDUARDA NASCIMENTO;6100642512;324.068.915-42;4,59E+12;DIARIA DE INTERNACAO HOSPITALAR - 200 DI;2115;285,1970623;11;51,33547122;18;27/06/2008;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;EDUARDA NASCIMENTO;6100642512;324.068.915-42;1,25E+12;IPA COM MAJORACAO  IFPD - RIDER;2406;23,35502684;5;4,203904832;18;12/08/2015;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;EDUARDA NASCIMENTO;6100642512;324.068.915-42;5,65E+12;DIT COM LER E DORT;2232;271,6949263;5;33,96186579;12,5;01/07/2012;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;EDUARDA NASCIMENTO;6100642512;324.068.915-42;8,87E+12;ADICIONAL - UTI;2117;159,029072;13;28,62523295;18;28/04/1970;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;EDUARDA NASCIMENTO;6100642512;324.068.915-42;4,79E+12;DIH ADICIONAL UTI RIDER;2411;15,53114494;18;0,310622899;2;08/03/2019;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;ANTÔNIO RAMOS;6192367853;982.310.647-96;3,10E+12;DIH ADICIONAL UTI RIDER;2411;26,7546668;1;0,535093336;2;28/02/2009;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;ANTÔNIO RAMOS;6192367853;982.310.647-96;5,78E+12;DIT MEDICOS  MAC  IPAM 7 DIAS;2400;147,4351788;17;26,53833219;18;13/01/1973;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;ANTHONY FERREIRA;2234039500;596.418.730-75;5,34E+12;WHOLE LIFE PLUS AFC;1758;116,3898891;27;2,327797782;2;01/12/1999;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;ANTHONY FERREIRA;2234039500;596.418.730-75;8,70E+12;DOENCAS GRAVES PREMIUM - RIDER;2414;193,1556484;5;24,14445605;12,5;08/09/2020;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;JOAQUIM CALDEIRA;4736632945;098.536.421-15;4,25E+12;IPA COM MAJORACAO  IFPD;2279;147,0909814;28;18,38637268;12,5;13/08/1975;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;JOAQUIM CALDEIRA;4736632945;098.536.421-15;9,31E+12;DIARIA DE INTERNACAO HOSPITALAR - 250 DI;2116;11,62688706;11;1,453360883;12,5;05/05/1981;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;PIETRO COSTELA;8519358105;783.620.945-83;4,84E+12;DIH - 250 DIARIAS - RIDER;2410;52,35859228;14;6,544824035;12,5;15/03/1976;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;PIETRO COSTELA;8519358105;783.620.945-83;9,11E+12;DIH - 250 DIARIAS - RIDER;2410;34,98867247;22;6,297961045;18;19/01/1999;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;JOÃO MIGUEL ARAÚJO;4941521098;187.654.092-30;9,36E+12;DIT COM LER E DORT;2232;207,6525057;11;37,37745102;18;09/04/2010;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;JOÃO MIGUEL ARAÚJO;4941521098;187.654.092-30;8,87E+12;IPA COM MAJORACAO;2278;296,9540279;26;53,45172502;18;30/10/2014;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;VITOR GABRIEL PINTO;1136614912;328.150.967-30;4,30E+12;DIT  MAC  IPAM - 7 DIAS - RIDER;2421;196,7576779;11;35,41638203;18;09/02/2020;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;ISIS CORREIA;8141044964;935.826.401-24;7,79E+12;WHOLE LIFE PLUS - IPA;1755;215,3123888;24;26,91404859;12,5;29/04/1986;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;ISIS CORREIA;8141044964;935.826.401-24;7,53E+12;IPA COM MAJORACAO  IFPD - RIDER;2406;97,55446387;18;17,5598035;18;19/07/1973;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;ISIS CORREIA;8141044964;935.826.401-24;91283282861;CAPTAL SEGURADO POR IPA;1537;256,5374209;29;46,17673576;18;22/01/1991;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;ISIS CORREIA;8141044964;935.826.401-24;3,20E+12;DIH ADICIONAL UTI RIDER;2411;224,1573123;3;28,01966404;12,5;03/09/1973;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;SOPHIA MORAES;5342379174;183.546.290-15;3,58E+12;IPA COM MAJORACAO;2278;269,7373407;15;33,71716759;12,5;26/06/2003;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;SOPHIA MORAES;5342379174;183.546.290-15;6,76E+12;WHOLE LIFE PLUS - IPA;1755;284,2275046;15;35,52843807;12,5;04/10/1984;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;SOPHIA MORAES;5342379174;183.546.290-15;4,47E+12;SAF SEGURO DE ASSISTENCIA FUNERAL SUPER;2028;130,342725;18;16,29284063;12,5;26/06/1989;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;DRA. JOANA SALES;9632985158;317.540.862-17;9,68E+12;DOENCAS GRAVES PREMIUM - RIDER;2414;18,29916409;5;2,287395511;12,5;20/10/2020;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;DRA. JOANA SALES;9632985158;317.540.862-17;8,38E+12;DOENCAS GRAVES PREMIUM - RIDER;2414;69,82974315;20;8,728717894;12,5;19/02/1988;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;DRA. JOANA SALES;9632985158;317.540.862-17;2,52E+12;WHOLE LIFE PLUS - IPA;1755;161,3172528;13;29,03710551;18;08/07/2013;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;DRA. JOANA SALES;9632985158;317.540.862-17;8,19E+12;IPA COM MAJORACAO  IFPD - RIDER;2406;199,1826042;5;35,85286876;18;01/10/1986;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;DRA. JOANA SALES;9632985158;317.540.862-17;4,99E+12;DIH ADICIONAL UTI RIDER;2411;210,0840566;18;37,81513018;18;05/07/2014;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LAVÍNIA MORAES;2389159685;450.831.729-41;4,45E+12;DIT COM LER E DORT;2232;216,1496335;18;4,32299267;2;19/01/2005;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LAVÍNIA MORAES;2389159685;450.831.729-41;6,04E+12;DIH ADICIONAL UTI RIDER;2411;158,1955241;23;19,77444051;12,5;27/10/2004;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LAVÍNIA MORAES;2389159685;450.831.729-41;6,09E+12;DIARIA DE INTERNACAO HOSPITALAR - 200 DI;2115;141,4572432;28;2,829144863;2;16/06/1995;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LORENA DA ROSA;2282925404;027.893.651-21;3,77E+11;DIT MEDICOS  MAC  IPAM 7 DIAS;2400;120,5874809;10;15,07343511;12,5;22/10/1984;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LORENA DA ROSA;2282925404;027.893.651-21;9,80E+12;DIARIA DE INTERNACAO HOSPITALAR - 200 DI;2115;142,6350309;18;25,67430556;18;02/04/1987;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LORENA DA ROSA;2282925404;027.893.651-21;5,44E+12;DIT  MAC  IPAM - 7 DIAS - RIDER;2421;36,73546729;22;0,734709346;2;27/07/2011;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LORENA DA ROSA;2282925404;027.893.651-21;8,17E+12;DIT COM LER E DORT E IPA MAJORADA;1784;97,3891359;20;1,947782718;2;11/05/1980;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;MARIA VITÓRIA CUNHA;6938572506;839.265.170-77;6,26E+12;SAF FAMILIAR SUPERLUXO - R7.000 - RIDER;2418;223,6569361;4;4,473138722;2;20/10/1992;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;MARIA VITÓRIA CUNHA;6938572506;839.265.170-77;3,67E+12;WHOLE LIFE PLUS - IPA;1755;221,8428843;24;4,436857685;2;12/02/1986;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;MARIA VITÓRIA CUNHA;6938572506;839.265.170-77;5,02E+12;DIH ADICIONAL UTI RIDER;2411;209,1638745;22;4,183277491;2;25/07/1995;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;MARIA VITÓRIA CUNHA;6938572506;839.265.170-77;3,86E+12;DOENCAS GRAVES PREMIUM;2231;26,44402544;2;3,30550318;12,5;04/01/1989;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;MARIA VITÓRIA CUNHA;6938572506;839.265.170-77;7,31E+12;DOENCAS GRAVES PREMIUM - RIDER;2414;276,2830112;4;49,73094202;18;20/05/1978;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;DRA. NINA DAS NEVES;8206980410;071.235.846-35;1,44E+11;IPA COM MAJORACAO  IFPD - RIDER;2406;116,989591;5;14,62369888;12,5;26/01/2016;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;DRA. NINA DAS NEVES;8206980410;071.235.846-35;5,71E+12;DIT COM LER E DORT E IPA MAJORADA;1784;129,0425201;15;23,22765362;18;14/10/1976;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;DRA. NINA DAS NEVES;8206980410;071.235.846-35;5,98E+12;IPA COM MAJORACAO;2278;145,1543623;24;2,903087246;2;10/10/2006;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;HELOÍSA DA ROCHA;6049536026;748.930.162-96;5,93E+11;ADICIONAL - UTI;2117;133,3312833;27;23,99963099;18;18/07/2019;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;HELOÍSA DA ROCHA;6049536026;748.930.162-96;3,85E+12;DIT COM LER E DORT E IPA MAJORADA;1784;190,4140826;1;34,27453487;18;06/09/2017;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;HELOÍSA DA ROCHA;6049536026;748.930.162-96;5,13E+12;DIARIA DE INTERNACAO HOSPITALAR - 250 DI;2116;85,47485187;29;15,38547334;18;04/08/2008;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;HELOÍSA DA ROCHA;6049536026;748.930.162-96;2,24E+11;SAF INDIVIDUAL SUPERLUXO - R7.000 - RIDE;2417;50,45744878;27;1,009148976;2;17/04/2011;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LEANDRO GOMES;9111343065;297.806.453-65;9,73E+12;SAF INDIVIDUAL SUPERLUXO - R7.000 - RIDE;2417;55,64751833;2;10,0165533;18;18/02/1974;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LEANDRO GOMES;9111343065;297.806.453-65;1,90E+12;DIARIA DE INTERNACAO HOSPITALAR - 250 DI;2116;80,09902255;25;14,41782406;18;11/08/1985;CARTEIRA GRUPAL                                                       
