CPF_CNPJ_do_Produtor;negocio_origem;nome_do_Segurado;matricula;CPF;inscricao;plano;plano_id;valor_base_R$;parcela;comissao_R$;porcentagem;data_pg;codigo_verba;nome_verba
49.812.635/0001-82;Individual;GUILHERME SALES;9136640861;803.654.921-24;5,31E+12;TERM LIFE 2019;2113;R$ 141,68;24;R$ 92,09;65;01/09/1991;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;DRA. ISABELLA CUNHA;9064731574;893.715.264-91;2,04E+12;IPA COM MAJORACAO  IFPD;2279;R$ 83,70;12;R$ 26,36;31.5;30/12/2007;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;DRA. MANUELA DIAS;9506140777;253.691.047-43;8,61E+12;TERM LIFE 2019;2113;R$ 77,77;6;R$ 50,55;65;09/08/2011;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;DRA. MANUELA DIAS;9506140777;253.691.047-43;5,21E+11;TERM LIFE;2395;R$ 193,70;2;R$ 125,90;65;28/11/1988;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;MIGUEL JESUS;6755128167;570.194.862-58;8,79E+12;TERM LIFE;2395;R$ 283,47;28;R$ 89,29;31.5;25/06/2015;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;ANA JULIA PIRES;4797793113;873.059.624-65;6,29E+11;IPA COM MAJORACAO  IFPD;2279;R$ 59,63;13;R$ 89,45;150;11/07/2015;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;ANA JULIA PIRES;4797793113;873.059.624-65;6,29E+11;IPA COM MAJORACAO  IFPD - RIDER;2406;R$ 264,19;13;R$ 83,22;31.5;23/07/2009;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;ANA LAURA LIMA;7247513492;403.781.265-71;1,49E+12;TERM LIFE 2019;2113;R$ 49,81;3;R$ 15,69;31.5;18/10/2005;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;LUCCA RODRIGUES;5893920027;582.190.374-23;5,91E+12;IPA COM MAJORACAO  IFPD;2279;R$ 23,59;13;R$ 15,33;65;27/06/1973;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;MILENA DA CONCEIÇÃO;2790808408;895.012.347-97;4,67E+12;IPA COM MAJORACAO  IFPD - RIDER;2406;R$ 281,97;24;R$ 183,28;65;13/05/2008;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;LUCAS CAVALCANTI;1073469711;198.705.264-11;7,02E+12;IPA COM MAJORACAO  IFPD - RIDER;2406;R$ 253,76;4;R$ 115,46;45.5;29/03/2019;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;LUCAS CAVALCANTI;1073469711;198.705.264-11;7,02E+12;IPA COM MAJORACAO  IFPD;2279;R$ 7,93;9;R$ 11,90;150;19/07/1970;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;DRA. ALANA SILVA;3486727466;176.503.294-61;8,44E+12;IPA COM MAJORACAO  IFPD;2279;R$ 9,47;23;R$ 14,21;150;18/04/2008;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;EMANUEL GOMES;6089434912;564.092.713-52;1,70E+12;IPA COM MAJORACAO  IFPD - RIDER;2406;R$ 136,91;6;R$ 43,13;31.5;03/01/2020;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;SOPHIA PEREIRA;4517926019;021.734.689-87;7,16E+12;TERM LIFE;2395;R$ 224,77;17;R$ 70,80;31.5;09/12/1972;1;ANGARIACAO INDIVIDUAL                                                 
